id,question,option_A,option_B,option_C,option_D,option_E,option_F,answer,type,has_image,image_path,source_page
12,"交換器或路由器的console埠與電腦的COM埠要連接時，需要用甚麼線材來
連接。",crossover,straight-through,rollover,shielded twisted-pair,,,C,single,no,,5
13,MAC位址的格式中，前面24 位元稱呼是甚麼?,NIC,BIA,OUI,VAI,,,C,single,no,,5
14,在乙太網路中，哪兩種情況是可以傳送資料。,when they receive a special token,when there is a carrier,when they detect no other devices are sending,when the medium is idle,when the server grants access,,"C,D",multiple,no,,5
15,"參考下列網路架構中，交換器的MAC表中已經記錄全部電腦的MAC，目前電
腦A送出一個訊框資料(frame)，其表頭檔內容如下圖所示，請問可以得到
什麼結論。
[pic]",The MAC address of host A is FFFF.FFFF.FFFF,The router will forward the packet in this frame to the Internet,The switch will only forward this frame to the attached router,interface,All devices in this LAN except host A will pass the packet to,Layer 3,D,single,yes,images/page_006.png,6
16,"根據下列網路架構中，switch1剛重新開機，這時候由hostA傳送資料給ho
stC，請問switch1會如何增加MAC Table的資訊。
[pic]",Switch1 will add 000A.8A47.E612 to the switching table,Switch1 will add 192.168.23.4 to the switching table,Switch1 will add 192.168.23.12 to the switching table,Switch1 will add 0000B.DB95.2EEE9 to the switching table,,,A,single,yes,images/page_006.png,6
17,"下圖為RJ45網路線兩頭的接法，請問此網路線可以連接下列那一個。
Pin Number
Color
Function
Pin
Color
Function
1
White/Green
TX+
1
W
ite/Green
TX+
2
Green
TX-
2
Green
TX-
3
White/Orange
RX+
3
White/Orange
RX+
6
Orange
RX-
6
Orange
RX-",PC to router,PC to switch,Server to router,Router to router,,,B,single,no,,7
18,"下圖為RJ45網路線兩頭的接法，請問此網路線可以連接有哪些。
Pin Number
Color
Function
Pin
Color
Function
1
hite/Green
TX+
3
Orange
RX+
2
Green
TX-
6
White/Orange
RX-
3
White/Orange
RX+
1
Green
TX+
6
Orange
RX-
2
White/Green
TX-",PC to router,PC to switch,Server to router,Router to router,,,"A,C,D",multiple,no,,7
19,L2交換器使用訊框中的什麼資訊來轉送收到的訊框。,source MAC address,source IP address,source switch port,destination IP address,destination port address,destination MAC address,F,single,no,,8
20,"Host
1要送資料給Host2，但在路由器C的e0介面壞掉了，請問下列那兩個陳述
是為真。(Choose two.)",Router C will use ICMP to inform Host 1 that Host 2 cannot be reached.,Router C will use ICMP to inform Router B that Host 2 cannot be reached.,"Router C will use ICMP to inform Host 1, Router A, and Router B that Host 2 cannot be reached.",Router C will send a Destination Unreachable message type.,Router C will send a Router Selection message type.,Router C will send a Source Quench message type.,"A,D",multiple,no,,9
21,"當hostA送資料給Server，Server回應給hostA時，在回應資料封包中的來
源MAC為何。",The MAC address of router inferface e0,The MAC address of router interface e1,The MAC address of the server network inferface,The MAC address of host A,,,A,single,no,,10
22,"HostA 執行ping
router3的S0/0，請問ping封包到達Router3時候的TTL為何？",252,253,254,255,,,B,single,no,,10
23,"當管理者ping預設閘道10.10.10.1時，出現下列訊息，請問是OSI模型中
的哪一層的問題？",Data link layer,Application layer,Access layer,Session layer,Network layer,,E,single,no,,11
24,管理者在host1執行ping host2，結果出現下列訊息，請問發生甚麼問題,？ The link between Host 1 and Switch 1 is down.. TCP/IP is not functioning on Host 1. The link between Router1 and Router2 is down.,The default gateway on Host1 is incorrect.,Interface Fa0/0 on Router1 is shutdown.,The link between Switch1 and Router1 is down.,,,C,single,no,,11
25,在同一個交換器的網路中，下列那一個指令可以測試PC之間的連線狀態？,Pingaddress,Tracertaddress,Tracerouteaddress,arpaddress,,,A,single,no,,11
26,OSI中那一層有流量管控功能及可靠傳送的機制。,data link,network,presentation,transport,physical,,D,single,no,,12
27,"網路管理員執行traceroute 指令後，出現 “Destination Unreadable”
的訊息，請問這是甚麼協定產生的訊息?",RARP,RUDP,ICMP,SNMP,,,C,single,no,,12
28,"網路管理員要檢查一台電腦的IP設定是否有成功，請問要ping下列哪一個
IP位址。",10.1.1.1,127.0.0.1,192.186.0.1,239.1.1.1,,,C,single,no,,12
29,"參考下列網路架構中，當 HostA ping HostB 之後，在 HostA 中的 ARP cache 內容為何？
[pic]",Interface Address 192.168.4.7 / Physical Address 000f.2480.8916 / Type dynamic,Interface Address 192.168.4.7 / Physical Address 0010.5a0c.feae / Type dynamic,Interface Address 192.168.6.1 / Physical Address 0010.5a0c.feae / Type dynamic,Interface Address 192.168.6.1 / Physical Address 000f.2480.8916 / Type dynamic,Interface Address 192.168.6.2 / Physical Address 0010.5a0c.feae / Type dynamic,,D,single,yes,images/page_013.png,13
30,"參考下列網路架構及部份輸出訊息，HostA正在傳送資料給HostB，當路由
器收到該筆資料時，路由器會如何處理?(choose three)
[pic]",Router1 will strip off the source Mac address and replace it with the MAC address on the forwarding FastEthernet interface,Router1 will strip off the sourece IP address and replace it with the IP address on the forwarding FastEthernet interface,Router1 will strip off the destination MAC address and replace it with the MAC address of Host B,Router 1 will strip off the destination IP address and replace it with the IP address of Host B,Router1 will forward the data frame out interface FastEthernet0/1,Router1 will forward the data frame out interface FastEthernet0/2,"A,C,F",multiple,yes,images/page_013.png,13
31,"參考R1的show ip arp輸出訊息，當路由器R1收到下列的封包時，R1會作如
何處理。(choose three.)",Source MAC Source IP Destination MAC Destination IP 0000.0c07.f892 192.168.20.5 0000.0c63.ae45 192.168.40.5 R1#show ip arp Protocol Address Age (min) Hardware Addr Type Interface Internet 192.168.20.5 90000.0c07.f892ARPA FastEthernet0/0 Internet 192.168.60.580000.0c07.ac00ARPA FastEthernet0/1 Internet 192.168.20.1 -0000.0c63.ae45ARPA FastEthernet0/0 Internet 192.168.40.5 90000.0c07.4320ARPA FastEthernet0/2 Internet 192.168.60.1 -0000.0c63.1300ARPA FastEthernet0/1 Internet 192.168.40.1 -0000.0c36.ae45ARPA FastEthernet0/2 R1 will strip off the source MAC address and replace it with the MAC address 0000.0c36.ae45,R1 will strip off the source IP address and replace it with the IP address 192.168.40.1,R1 will strip off the destination Mac address and replace it with the MAC address 0000.0c07.4320,R1 will strip off the destination IP address and replace it with the IP address of 192.168.40.1,R1 will forward the data packet out interface FastEthernet0/1,R1 will forward the data packet out interface FastEthernet0/2,"A,C,F",multiple,no,,14
32,"參考下列網路架構中，當資料由HostA送到HostC時，資料中的目的位址為
何? (Choose two.)
[pic]",the IP address of Switch 1,the MAC address of Switch 1,the IP address of Host C,the MAC address of Host C,the IP address of the router’s E0 interface,the MAC address of the router’s E0 interface,"C,F",multiple,yes,images/page_015.png,15
33,"參考下列網路架構中，當host 4
要送資料給host3時，資料中的目的位址為何? (Choose two.)
[pic]",the IP address of host 3,the IP address of host 4,the MAC address of host 3,the MAC addresses of host 4,the MAC address of the Fa0/0 interface of the R1 router,the MAC address of the Fa0/1 interface of the R1 router,"A,C",multiple,yes,images/page_015.png,15
34,"參考下列網路架構中，當hostA要送資料給hostB時，資料還在HostA的網
路中時，資料中的目的MAC與來源MAC為何？(Choose two.)
[pic]",the MAC address of Router1,the MAC address of Switch2,the Mac address of Router1 Fa0/1,the MAC address of Switch1,the Mac address of Router1 Fa0/0,the MAC address of HostA,"E,F",multiple,yes,images/page_016.png,16
35,"參考下列網路架構，當Host A pings Host B後，
ping的封包離開R2的fa0/1時，請問封包中來源位址為何? (Choose two.)
[pic]",abcd.abcd.a001,abcd.abcd.a002,abcd.abcd.b003,10.2.0.15,10.0.64.1,10.0.128.15,"B,D",multiple,yes,images/page_016.png,16
36,根據下圖路由器的輸出資訊，請問可以決定下列那一件事?,Router#show ip arp Protocol Address Age (min) Hardware Addr Type Interface Internet 192.168.1.1 - ca00.17d0.0008ARPA FastEthernet0/0 Internet 192.168.3.1- ca00.17d0.0008ARPA FastEthernet0/1,Internet 192.168.1.2 0 ca00.17d0.0008ARPA FastEthernet0/0,192.168.1.2 is local to the router 192.168.3.1 is local to the router 192.168.1.2 will age out in less than 1 minute,192.168.3.1 has aged out and is marked for deletion,,,B,single,no,,17
37,"根據下圖MAC
Table資訊，交換器S1如何傳送目的MAC為00b0.d056.efa4的資料。",S1#show mac-address-table Destination Address Address Type VLAN Destination Port ------------------------- ---------------- ---------- -------------------------- 0010.0de0.e289 Dynamic 1 FastEthernet0/1 0010.7b00.1540 Dynamic 2 FastEthernet0/3 0010.7b00.1545 Dynamic 2 FastEthernet0/2 Switch-1 will drop the data because it does not have an entry for that MAC address,Switch-1 will send an ARP request out all its ports except the port from which the data originated,Switch-1 will flood the data out all of its ports except the port from which the data originated,Switch-1 will forward the data to its default gateway,,,C,single,no,,17
38,"根據下列網路架構與輸出資訊，Host1執行ping
192.168.1.254，此IP為Host1的預設閘道，從Host1的arp
cache的內容，Host1做了什麼。
[pic]",send a unicast ARP packet to the DSL modem/router,send Layer 3 broadcast packets to which the DSL modem/router,responds,send unicast ICMP packets to the DSL modem/router,"send a Layer 2 broadcast that is received by Host2, the switch,",and the DSL modem/router,C,single,yes,images/page_018.png,18
39,"當網管人員在一台電腦中執行ping
127.0.0.1並且成功收到ping回覆封包，請問可以確定下列那一件事?",The PC has connectivity with a local host,The PC has connectivity with a Layer 3 device,The Pc has a default gateway correctly configured,The Pc has connectivity up to Layer 5 of the OSI model,The PC has the TCP/IP protocol stack correctly installed,,E,single,no,,18
40,"管理者正在規劃3個網頁伺服器在同一個子網路中，請問用最合適的規劃
為何？",192.168.252.0 255.255.255.252,192.168.252.8 255.255.255.248,192.168.252.8 255.255.255.252,192.168.252.16 255.255.255.240,192.168.252.16 255.255.255.252,,B,single,no,,19
41,使用階層式方式規劃IP位址時，請問會有下列兩個優點。,Reduces routing table entries,Auto-negotiation of media rates,Efficient utilization of MAC addresses,Dedicated communications between devices,Ease of management and troubleshooting,,"A,E",multiple,no,,19
42,"給定一個IP位址 172.16.28.252 255.255.240.0，下列哪一個是正確的
網路IP位址。",172.16.16.0,172.16.0.0,172.16.24.0,172.16.28.0,,,A,single,no,,19
43,根據下列網路架構，針對60台主機部分，請問最合適的子網路規劃為何？,192.168.1.56/26,192.168.1.56/27,192.168.1.64/26,192.168.1.64/27,,,C,single,no,,20
44,下列那一個子網路規劃最適合給8個子網路，每個子網路有5 到26主機。,0.0.0.240,255.255.255.252,255.255.255.0,255.255.255.224,255.255.255.240,,D,single,no,,20
45,"管理者要設定113個點對點的連線，請問下列哪一個IP位址規劃最適合這
個需求。",10.10.0.0/16 subnetted with mask 255.255.255.252,10.10.0.0/18 subnetted with mask 255.255.255.252,10.10.0.0/24 subnetted with mask 255.255.255.252,10.10.0.0/23 subnetted with mask 255.255.255.252,10.10.0.0/25 subnetted with mask 255.255.255.252,,D,single,no,,20
46,"下圖架構中關於Network Device A的設備，那些敘述為真? (Choose
three.)
[pic]","With a network subnet mask of 255.255.255.128, each interface does not require an IP address.","With a network subnet mask of 255.255.255.128, each interface does require an IP address on a unique IP subnet.","With a network subnet mask of 255.255.255 0, must be a Layer 2 device for the PCs to communicate with each other.","With a network subnet mask of 255.255.255 0, must be a Layer 3 device for the PCs to communicate with each other.","With a network subnet mask of 255.255.254 0, each interface does not require an IP address.",,"B,D,E",multiple,yes,images/page_021.png,21
47,下列那些IP位址可以分配給主機使用。,205.7.8.32/27,191.168.10.2/23,127.0.0.1,224.0.0.10,203.123.45.47/28,10.10.0.0/13,"B,F",multiple,no,,21
48,"當子網路規劃為/27，路由器使用了ip subnet zero
指令，請問下列那幾個IP可以作為主機IP?(Choose three.)",10.15.32.17,17.15.66.128,66.55.128.1,135.1.64.34,129.33.192.192,192.168.5.63,"A,C,D",multiple,no,,21
49,下列那幾個主機IP是可以連上網際網路?(Choose three.),10.172.13.65,172.16.223.125,172.64.12.29,192.168.23.252,198.234.12.95,212.193.48.254,"C,E,F",multiple,no,,21
50,"給定一個網路198.168.20.19/28，下列那幾個主機IP是在這個網路中的主
機IP位址?(Choose two)",192.168.20.29,192.168.20.16,192.168.20.17,192.168.20.31,192.168.20.0,,"A,C",multiple,no,,22
51,下列那些是描述私有IP的特性?(Choose two.),addresses chosen by a company to communicate with the Internet,addresses that cannot be routed through the public Internet,addresses that can be routed through the public Internet,a scheme to conserve public addresses,addresses licensed to enterprises or ISPs by an Internet,registry organization,"B,D",multiple,no,,22
52,"網管人員正在規劃公司的網路，公司需求最少要有300子網路，每個子網
路最少要有50台主機需求，目前公司只有一個Class B可以使用，請問下
列那些子網路規劃，可以符合公司網路需求。(Choose two.)",255.255.255.0,255.255.255.128,255.255.252.0,255.255.255.224,255.255.255.192,255.255.248.0,"B,E",multiple,no,,22
53,"當ip subnet zero的指令沒有設定在路由器上，一個class B子網路規劃
為192.168.8.0/29，下列哪一個主機IP為第六個子網路的第一個主機IP。",192.168.8.25,192.168.8.41,192.168.8.49,192.168.8.113,,,C,single,no,,22
54,下列那一個IP位址可以設定在面對網際網路的介面上?,10.18048.224,9.255.255.10,192.168.20.223,172.16.200.18,,,B,single,no,,23
55,"當下圖中的s0/0介面上被設定為私有IP位址，請問下列敘述何者正確?
[pic]",Addresses in a private range will be not routed on the Internet backbone. Only the ISP router will have the capability to access the public network.,The NAT process will be used to translate this address in a valid IP address.,Several automated will be necessary on the private network.,"A conflict of IP addresses happens, because other public routers can use the same range.",,,A,single,yes,images/page_023.png,23
56,"請參考下列網路需求，下列那一個子網路規劃最適合Network A的主機數
目。
[pic]",(A) /28,(B) /27,(C) /26,(D) /25,,,D,single,yes,images/page_023.png,23
57,"請參考下列網路需求，下列那一個子網路規劃最適合NetworkB的主機數目
。
[pic]",255.255.255.0,255.255.254.0,255.255.252.0,255.255.258.0,,,B,single,yes,images/page_024.png,24
58,"請參考下列網路需求，對於WAN的接線部份，需要規劃下列那一個網路最
為適合。
[pic]",/23,/24,/25,/30,,,D,single,yes,images/page_024.png,24
59,在131.1.123.0/27網路中，最後一個可用的主機IP位址為何。,131.1.123.30,131.1.123.31,131.1.123.32,131.1.123.33,,,A,single,no,,24
60,在192.0.2.0/23中，下列哪些IP位址是可以設定在主機上。,192.0.2.0,192.0.2.255,192.0.3.255,192.0.4.0,,,B,single,no,,24
61,124.12.4.0/22網路可以有多少個主機位址。,510,1022,1024,2048,,,B,single,no,,24
62,"一台主機使用DHCP取得到的預設閘道為192.168.5.33/28，下列哪一個IP
可以給該主機使用。",192.168.5.55,192.168.5.47,192.168.5.40,192.168.5.32,192.168.5.14,,C,single,no,,25
63,給定subnet mask為 255.255.254.0，下列那些IP是主機IP位址?,113.10.4.0,189.54.3.0,175.33.3.255,26.358.52.255,17.35.36.0,,"B,D",multiple,no,,25
64,"Workstation A被設定IP為172.0.2.24/28，Workstation B
被設定IP為172.0.2.100/28.
兩台workstations使用直線網路線對接，完成後兩台對ping都不能通，請
問是什麼原因?(Choose two.)
[pic]",Replace the straight-though cable with a crossover cable.,Change the subnet mask of the hosts to /25,Change the subnet mask of the hosts to /26,Change the address of Workstation A to 172.0.2.15,Change the address of Workstation B to 172.0.2.111,,"A,B",multiple,yes,images/page_025.png,25
65,"ISP分配給公司的IP為223.5.14.6/29用來設定電腦，並且也定了預設閘道
為223.5.14.7，當公司的網路管理員都設定完成後，卻無法連上ISP，請
問是什麼問題。",The default gateway is not an address on this subnet.,The default gateway is the broadcast address for this subnet.,The IP address is the broadcast address for this subnet.,The IP address is an invalid class D multicast address.,,,B,single,no,,26
66,"27. 下圖IP組態中，預設閘道應該是下列那一個IP位址。
[pic]",10.0.0.0,10.0.0.254,192.223.129.0,192.223.129.254,,,B,single,yes,images/page_026.png,26
67,"28. 網管人員在路由器上有設定ip
subnet-zero，並將172.25.0.0網路被分成8子網路，下列那些IP位址是屬
於第3個子網路的主機IP。(Choose three.)",172.25.78.243,172.25.98.16,172.25.72.0,172.25.94.255,172.25.96.17,172.25.100.15,"A,C,D",multiple,no,,26
68,"29.
當172.16.0.0/23網路被切割子網路為/27，請問產生幾個子網路及每個子
網路中的主機數目。","8 subnets, 32 host","8 subnets, 31 hosts","16 subnets, 30 host","16 subnets, 32 host",,,C,single,no,,27
69,"30.
請參考下列網路架構規劃，工作站B與伺服器A無法互通，是下列那一個原
因。
[pic]",(A) The IP address for Server A is a broadcast address.,(B) The IP address for Workstation B is a subnet address.,(C) The gateway for Server A is not on the same subnet.,(D) The gateway for Workstation B is not on the same subnet.,,,C,single,yes,images/page_027.png,27
70,"31. 請參考下列網路規劃，下列哪兩個網路位址可以用在Network A 及
Link A。
[pic]",(A) Network A - 172.16.3.128/25,(B) Network A - 172.16.3.48/26,(C) Network A - 172.16.3.192/26,(D) Link A - 172.16.3.40/30,(E) Link A - 172.16.3.0/30,(F) Link A - 172.16.3.112/30,"A,E",multiple,yes,images/page_028.png,28
71,"32.
將192.216.32.32/29子網路中最後一個主機IP設定在路由器上的介面，請
問是下列哪一個指令可以完成。",router (config-if)#ip address 192.216.32.38 255.255.255.240,router (config-if)#ip address 192.216.32..39 255.255.255.224,router (config-if)#ip address 192.216.32.63 255.255.255.248,router (config-if)#ip address 192.216.32.39 255.255.255.248,router (config-if)#ip address 192.216.32.63 255.255.255.248,router (config-if)#ip address 192.216.32.38 255.255.255.248,F,single,no,,28
72,"33. 下列兩個路由器R1與R2使用序列埠連線，但是連線不成功，網管人員
使用show interface查詢結果如下，如果R1確認沒有設定錯誤，請問R2中
設定錯誤的地方。
[pic]",A clock rate is not set The serial line encapsulations are incompatible The subnet mask is incorrect,The IP address is incorrect,The maximum transmission unit(MTU) size is too large,The bandwidth setting is incompatible with the connected interface,,,D,single,yes,images/page_029.png,29
73,"34.
Host1無法收到Host2的封包，假設R1與R2的路由功能沒問題，請問是IP組
態錯在哪些地方。(choose two)
[pic]",The fa0/1 interface of router R2 has been assigned a broadcast address,The fa0/1 network on router R2 overlaps with the LAN attached to,R1,Host 2 has been assigned the incorrect subnet mask,Host 1 has been configured with the 255.255.248.0 subnet mask,Host 2 on router R2 is on a different subnet than its gateway,"B,C",multiple,yes,images/page_030.png,30
74,當一台交換器已經設定新的Trunk連線，那些Vlan的資料可以經過新的Tru,nk?,"By default, all defined VLANs are allowed on the trunk","Each single VLAN, or VLAN range, must be specified with the switchport mode command","Each single VLAN, or VLAN range, must be specified with the vtp domain command","Each single VLAN, or VLAN range, must be specified with the vlan",database command,A,single,no,,31
75,"有兩台交換器S1與S2使用fa0/13對接，並設定為Trunk連線，在S1設定Nat
ive Vlan為Vlan10，而S2使用預設的Native Vlan，針對這樣的Native
Vlan的設定，會有什麼問題產生。",802.1Q giants frames could saturate the link,VLAN 10 on CAT1 and VLAN 1 on CAT2 will send untagged frames,A native VLAN mismatch error message will appear,VLAN 10 on CAT1 and VLAN 1 on CAT2 will send tagged frames,,,C,single,no,,31
76,假設目前交換器是預設組態，請問下列哪一個範圍可以增加、修改及刪除,Vlan ID。,1 through 1001,2 through 1001,1 through 1002,2 through 1005,,B,single,no,,31
77,請問下列指令執行結果代表什麼意義。,Switchport trunk native vlan 999,It creates a VLAN 999 interface.,It designates VLAN 999 for untagged traffic.,It blocks VLAN 999 traffic from passing on the trunk.,It designates VLAN 999 as the default for all unkown tagged,traffic.,B,single,no,,31
78,"目前一台路由器有兩個乙太網路介面，需要連接四個Vlan，要如何用最好
的路由器的網路介面來完成這項工作。",Use a hub to connect the four VLANS with a Fast Ethemet,interface on the router.,Add a second router to handle the VLAN traffic.,Add two more Fast Ethermet interfaces.,Implement a router-on-a-stick configuration.,,D,single,no,,32
79,"根據上圖架構及資訊，當S1中的Vlan1送出去的資料，在S2卻是Vlan2收到
，這是什麼原因造成。",Trunk mode mismatches,Allowing only VLAN 2 on the destination,Native VLAN mismatches,VLANs that do not correspond to a unique IP subnet,,,C,single,no,,32
80,當交換器還未建立Vlan3時，卻執行下列指令，請問會發生什麼事情。,Switchport access vlan 3 The command is rejected,The port turns amber.,The command is accepted and the respective VLAN is added to vlan dat.,The command is accepted and you must configure the VLAN manually.,,,C,single,no,,32
81,"網路管理員想從外面的網路透過Telnet連線到交換器，請問必須設定下列
那些選項。(Choose two.)","The switch must be configured with an IP address, subnet mask, and default gateway",The switch must be connected to a router over a VLAN trunk,The switch must be reachable through a port connected to its management VLAN,The switch console port must be connected to the Ethernet LAN,The switch management VLAN must be created and have a membership of at least one switch port,The switch must be fully configured as an SNMP agent,"A,C",multiple,no,,33
82,"當有一台Catalyst 2950
交換器要被重新設定，需要下列那些步驟才能將這台交換器的舊組態全部
清除。(Choose three.)",Erase flash,Restart the switch,Delete the VLAN database,Erase the running configuration,Erase the startup configuration,Modify the configuration register,"B,C,E",multiple,no,,33
83,下列那些是VLANs的優點?(Choose three.),VLANs establish broadcast domains in switched networks,VLANs utilize packet filtering to enhance network security,VLANs provide a method of conserving IP addresses in large networks,VLANs provide a low-latency internetworking alternative to routed networks,"VLANs allow access to network services based on department, not physical location","VLANs can greatly simplify adding, moving, or changing hosts on the network","A,E,F",multiple,no,,33
84,"參考下圖接線架構中，在交換機的兩個連接埠沒有變成橘燈或綠燈，下列
那些是有效的步驟來檢查實體層問題。(Choose three.)
[pic]",Ensure that the Ethernet encapsulations match on the interconnected router and switch ports,Ensure that cables A and B are straight-through cables,Ensure cable A is plugged into a trunk port,Ensure the switch has power,Reboot all of the devices,Reseat all cables,"B,D,F",multiple,yes,images/page_034.png,34
85,"參考下列網路架構中，關於路由器與交換器的連接埠，下列哪些敘述是正
確。(Choose three.)
[pic]",The Router1 WAN port is configured as a trunking port,The Router 1 port connected to Switch1 is configured using subinterfaces,The Router 1 port connected to Switch1 is configured as 10 Mbps,The Switch1 port connected to Router1 is configured as a trunking port,The Switch1 port connected to Host B is configured as an access port,The Switch1 port connected to Hub1 is configured as full duplex,"B,D,E",multiple,yes,images/page_035.png,35
86,"參考下列網路架構中，只有電腦A、D、G可以存取server的資料，其它電腦
不行，請問可以使用什麼技術來達成。(Choose two.)
[pic]",access lists,encrypted router passwords,STP,VLANs,VTP,Wireless LANs,"A,D",multiple,yes,images/page_036.png,36
87,關於802.1Q trunking，下列哪些敘述是正確 (Choose three.),802.1Q native VLAN frames are untagged by default,802.1Q trunking ports can also be secure ports,802.1Q trunks can use 10 Mb/s Ethernet interfaces,"802.1Q trunks require full-duplex, point-to-point connectivity",802.1Q trunks should have native VLANs that are the same at both,ends,"A,C,E",multiple,no,,36
88,"參考下列網路架構中，網管人員在交換器與路由器設定，要將VLAN3與VLAN
4中的電腦能夠存取Server，下列那些乙太網路的區段必須設定為Trunk。(
Choose two.)
[pic]",A,B,C,D,E,F,"C,F",multiple,yes,images/page_037.png,37
89,"參考下列網路架構中，網路管理員知道Vlan4中Server必須提供給所有其它
Vlan中的電腦存取，網路管理員必須設定那接連接埠為access模式?(Choos
e three.)
[pic]",S1 – Fa0/2,S1 – Fa0/9,S2 – Fa0/3,S2 – Fa0/4,S2 – Fa0/8,R1– Fa1/0,"A,C,D",multiple,yes,images/page_038.png,38
90,"參考下列網路架構中，網管人員觀察到一個問題的現象如下，
All of the user hosts can access the Internet
None of the user hosts can access the server located in VLAN9
All of the hosts can ping each other
請問造成什麼問題?
[pic]",S2 is turned off,Interface S0/0 on R1 is down,Interface Fa1/0 on R1 is down,Interface Fa0/5 on S3 is down,Interface Fa0/4 on S3 is down,Trunking is not enabled on the link between S1 and S3,E,single,yes,images/page_038.png,38
91,那兩種連線的協定是用來攜帶多個Vlan的資料。,VTP,802.1q,IGP,ISL,802.3u,,"B,D",multiple,no,,39
92,"公司內有一台交換器的所有的連接埠都設定為full
duplex並指定到Vlan2，如果將交換器建立新的Vlan並將連接埠指定到新
的Vlan，下列那一個敘述為正確。",More collision domains will be created,IP address utilization will be more efficient,More bandwidth will be required than was needed previously,An additional broadcast domain will be created,,,D,single,no,,39
93,針對Vlan來規劃網路，下列哪些敘述是正確。,VLANs increase the size of collision domain,VLANs allow logical grouping of users by function,VLANs simplify switch administration,VLANs enhance network security,,,"B,D",multiple,no,,39
94,"在一家公司的網路中，主機在相同Vlan可以互相傳送資料，但是主機在不
同Vlan中卻無法傳送資料，需要什麼設定才能解決此問題。",a router with subinterfaces configured on the physical interface,that is connected to the switch a router with an IP address on the physical interface connected,to the switch a switch with an access link that is configured between the switches,a switch with a trunk link that is configured between the switches,,,A,single,no,,39
