id,question,answer,type,option_A,option_B,option_C,option_D,option_E,option_F
11,A-11. 數間公司共同建立並監視一個特定產業的 AI 相關安全性事件資料庫，希望藉由共享資訊，讓產界部署的 AI 系統更安全。請問哪一位專案團隊成員應負責監視 AI 事件資料庫中的事件？,D,single,負責改良產品軟體外觀及風格的 UI 設計師。,負責評估成本超支和時程延遲的專案經理。,根據要求編寫高效簡潔程式的開發人員。,負責評估團隊開發中新功能的產品經理。,,
12,A-12. 一間公司提供使用者非常多種類的產品；他們想將產品整理不同組別，以便針對每組產品分別制訂行銷策略。請問㏺屬於哪種機器學習問題？,A,single,非監督式學習、叢集。,監督式學習、迴歸。,非監督式學習、分類。,監督式學習、叢集。,,
13,A-13. 一位學校諮商師想瞭解招生嚴格的明星大學主要的錄取標準，他應該使用哪種資料才能訓練出成效最佳的機器學習模型？,C,single,對該學校所在的城市收集盡可能久遠的資料。,對自家學校收集盡可能久遠的資料。,盡可能收集多個地點的各間學校在過去幾年的資料。,收集該學校過去十年的資料。,,
14,A-14. 您的團隊正在打㐀一個農業機器人，㏺個機器人會使用視覺系統辨識雜草，然後以不傷害到周圍作物的方式清除雜草。您的任務是為㏺項專案開發一個訓練資料集。請問㏺個訓練集中應加入哪些圖像？為什麼？,B,single,各式類別的圖像。,雜草和作物的圖像。,只需加入雜草的圖像。,在農場上能看到的所有物件圖像。,,
15,A-15. 您正在為有特定目標的模型選擇資料集。在選擇有助於達成目標的資料時，下列哪兩項因素可能是重要的元素？（請選擇 2 個答案）,"A,B",multiple,確認資料集的資料足以達成目的。,缺少的元素或者有毀損的元素。,資料集元素的檔案格式。,資料集的發佈來源。,資料集是否透過搜尋引擎找到的。,
16,A-16. 您正在建置一個模型，想用於預測內送電子郵件是否為垃圾郵件，下表顯示了資料集的代表性範例。請問在此資料中，有什麼問題是您必須解決的？,D,single,資料毀損。,極端值。,資料缺失。,資料不平衡。,,
17,A-17. 一間公司開發了一款智慧手機應用程式，可使用 GPS 與加㏿器資料辨識並回報城市街道上的路面坑洞。城裡許多老年人和低收入居民都沒有智慧手機，因此導致資料集產生偏差。請問㏺是哪種偏差類型的例子？,D,single,自動化偏差。,增強式偏差。,人類認知偏差。,資料收集偏差。,,
18,A-18. 請 將左側清單中的各項描述移至右側對應的資料儲存類型 AB -> 23 CD -14,AB->23;CD->14,matching,,,,,,
19,A-19. 您想對視覺資訊編碼成機器視覺系統能夠解釋的形式，但記憶體需要和模型大小都有限制。請問在相同的解析下，下列哪種圖像資料所需的磁碟使用量最小？,C,single,256 色。,灰階。,單色。,高動態範圍。,,
20,A-20. 請將左側清單中的各個AI問題移至右側最適當的資料類型。 1 B 2 D 3 C 4 A,1->B;2->D;3->C;4->A,matching,,,,,,
21,A-21. 您正在建置一個 AI，用於預測是否核准客戶的貸款申請。因為公司手上資料包含許多特徵，但一開始只想使用最有價值的特徵，以便將 AI 成功率提升。請問該怎麼做？,D,single,只保留數字特徵。,只保留描述客戶私人情況的特徵。,詢問客戶他們認為最大的優勢是什麼。,與負責人工核准貸款的人員討論。,,
22,A-22. 資料科學家會使用㏺個表格中顯示的資料預測未來客戶會透過銀行投資多少錢。請問在選擇特徵的階段，資料科學家應該移除哪兩項資料？,"A,B",multiple,[城市]，因為㏺一欄僅包含單一值。,[年齡]，因為使用[出生年]欄的值既可產生㏺一欄的值。,[學歷]，因為㏺一欄包含類別值。,[城市]，因為居住地不影響投資的金額。,[薪資]，因為㏺一欄的值數字較大。,
23,A-23. 一間醫院正在打㐀一套 AI 解決方案，用於預測患者是否可能取消約診。資料包含姓名、病症、年齡、上次約診日期與時間、是否未到診、以及下次約診日期與時間。標籤為「是」或「否」。請問在特徵工程時，可能執行下列哪兩項作業？（請選擇 2 個答案）,"A,B",multiple,將「是」與「否」編碼為數值。,將病症編碼為數值。,選取最佳分類演算法。,評估隱私需求。,進行超參數調整。,
24,A-24. 您有下列資料集 您必須識別下列每個表格使用之資料集的分類[學歷]特徵的編碼方法。 A -> 表格B B -> 表格C C -> 表格A,A->表格B;B->表格C;C->表格A,matching,,,,,,
25,A-25. 您正在製作一個模型，用於估計北極圈被冰層覆蓋的土地面積。您擁有 10 萬張具有標籤的北極圈衛星圖像，可用於訓練機器學習區分冰層、水域、土地，以產生土地面積估算值。請問您該如何將圖像配置給訓練和測試資料集？,B,single,將大約 50% 的圖像用於進行訓練，剩下的用於測試。,將大約 80% 的圖像用於進行訓練，剩下的用於測試。,將具有標籤的圖像 100% 用於訓練及測試。,使用所有資料訓練模型，再用部分資料進行測試。,,
26,A-26. 您需要為醫療人員建立一套容易解釋的導引系統。請問您應該使用哪種機器學習模型？,D,single,K-Means 叢集。,支援向量機。,神經網路。,決策樹。,,
27,A-27. 下列哪兩種問題可以使用決策樹演算法解決？（請選擇 2 個答案）,"A,B",multiple,分類。,迴歸。,叢集。,增強式學習。,文字產生。,
28,A-28. 請將左側清單中各個資料集片段，移至右側會用到該片段的AI建模步驟 1 -> A 2 -> C 3 -> B,1->A;2->C;3->B,matching,,,,,,
29,A-29. 決策樹如何訓練分類模型？,C,single,找出線性關係以區分資料群組。,找出一或多條線將資料集區分。,使用特徵將資料集區分為相似群組。,根據相似度計算資料點距離。,,
30,A-30. 您建置了兩個 AI，用於區分成人和兒童，各個 AI 的混淆矩陣如下所示。哪個 AI 較佳？為什麼？,A,single,AI 2，因為其準確率為 80%。,AI 2，因為正確預測兒童的數值最高。,AI 1，因為其準確率為 60%。,AI 1，因為正確預測成人和兒童的數值相同。,,
31,A-31. ㏺三個模型使用的都是同一個資料集。 1 -> C 2 -> A 3 -> B,1->C;2->A;3->B,matching,,,,,,
32,A-32. ㏺張圖表依據性別和年份顯示擁有銀行帳戶的人口百分比。請問㏺屬於哪種視覺效果？,C,single,對比。,長期變化。,交集。,因素。,,
33,A-33. 哪種指標經常用於評估迴歸 AI 的品質？,D,single,精確率。,準確率。,召回率。,均方根誤差（RMSE）。,,
34,A-34. 您需要對使用交易資料進行訓練的詐騙偵測模型進行成效評估。請問您應該使用哪一種指標？,D,single,BLEU。,確判為真率。,準確率。,混淆矩陣。,,
35,A-35. 準確率和精確率有什麼差異？,C,single,當資料集不平衡時，準確率比精確率更有用。,準確率只能以 0 到 1 之間的數字表示，而精確率只能以百分比表示。,準確率是指測量值與「真」值之間的差距；精確率是指測量彼此之間的差距。,準確率是指精確率與召回率的加權平均；精確率是指正確預測正向觀測資料佔所有預測正向觀測資料的比例。,,
36,A-36. 如想避免決策樹發生過度擬合的情形，可以採取哪些作法？,B,single,決定葉結點數目下限。,指定樹深上限。,確認資料集呈現高度偏態。,從訓練資料集中隨機移除部分觀測資料。,,
37,A-37. 一間學校使用 AI 模型協助處理入學事宜，目前正在使用過去 10 年的錄取資料訓練模型。為了加入不考慮學費支付能力的錄取生，輸入值排除了申請人的收入資料，但學校發現結果依然偏向收入較高的學生。下列何者可能是㐀成㏺種情況的原因？,B,single,訓練資料集太小。,其他特徵（例如郵遞區號、測驗分數）與收入水準相互關聯。,模型程式碼錯誤。,特徵集太小導致過度擬合。,,
38,A-38. 一個 AI 團隊實作的模型似乎有過度擬合的情況。請問㏺個團隊可以採用下列哪三種方式解決問題？（請選擇 3 個答案）,"A,B,C",multiple,收集更多資料。,確認資料未出現不平衡現象。,調整超參數。,實作更複雜的模型。,改用非線性模型。,
39,A-39. 下列哪些物件可以協助 AI 專案團隊管理法規合規性？,D,single,資料模型、偵錯記錄檔、變更要求。,資料策略、問題記錄檔、專案計畫。,資料品質計分卡、安全性記錄檔、腳本。,資料分享合約、事件記錄簿、風險登錄表。,,
40,A-40. 您建立了一個模型，並進行了測試。在實際部署之前，您決定先詢問客戶對模型的印象。在㏺流程中，哪兩項必要的工作？（請選擇 2 個答案）,"A,B",multiple,根據結果進行效率評定並告知潛在風險。,與客戶會面共同評估解決方案。,擴大模型規模。,搜尋改良技術。,將結果與競爭對手比較。,
41,A-41. 貴公司建置了臉部辨識軟體，計劃部署在辦公室大樓作為保安系統的一環。您負責制訂訓練計畫，協助大樓保全人員瞭解如何使用㏺套軟體。請問您的訓練計畫應該包括哪些內容？,C,single,再次說明 AI 的可解釋性。,介紹軟體中使用的最新神經網路。,接獲 AI 認錯人的投訴時應採取的處理流程。,介紹測試方法以測試準確率。,,
42,A-42. 一間銀行建置了 AI，用於預測客戶是否可能拖欠貸款。由於部分客戶可能會對貸款決策提出異議，銀行想保留記錄以便說明決策方式。請問銀行應該提供下列哪項資訊以減少爭議？,D,single,AI 預測數。,編寫預測程式碼的工程師。,訓練實驗次數。,用於訓練 AI 的資料集。,,
43,A-43. 下列那個詞彙經常用於形容 AI 預測結果？,C,single,K 等分交叉驗證。,超參數調整。,推測。,混淆矩陣。,,
44,A-44. 一個組織靠連續管線將數量不斷增加的機器學習模型保持在最新狀態。請問生產環境 AI 作業中部署了下列哪兩種演算法？（請選擇 2 個答案）,"C,D",multiple,事件票證。,不可變基礎結構模式。,AI 健康情況監視。,推斷調整。,特徵存放庫。,
45,A-45. 貴公司的目標是執行高度相關且隨時都有最佳效能的模型。您必須決定模型重新接受訓練的頻率，因此目前正考慮三種策略：定期、取決於效能，或依據資料變更情況。除了回饋意見的可用性和資料量以外，還應納入哪項因素？,D,single,資源成本。,實作簡易度。,週期性。,模型效能可見度。,,
46,A-46. 您將訓練用於區分貓、狗、兔子的 AI 應用程式部署至生產環境。請問下列哪種情況是在生產環境發生模型漂移的例子？,B,single,模型只用於區分貓和兔子。,模型經常收到區分老虎和猴子的要求。,之後加了猴子的圖像並重新訓練 AI。,用更多不同照明條件的圖像重新訓練。,,
47,A-47. 您將對網站使用者推薦產品的 AI 部署至生產環境後，該 AI 已在生產環境超過一年；上週加入了新的模型更新。請問如何評估新演算法是否比舊演算法更有效？,B,single,檢閱資料科學家的實驗。,等待三個月後比較銷售量。,檢視程式碼錯誤數。,比較不同時間銷售量。,,
48,A-48. 您的新 AI 系統已順利㏻過測試並收集實際運作指標。所有結果看來都符合預期，您希望很快就能全面部署系統。請問在㏺個階段，您應採取什麼重要且合乎道德的步驟？,D,single,保留伺服器執行個體。,審查新技術可否升級。,根據試驗接受預購。,判斷技術是否對任何族群㐀成不相稱影響。,,
49,A-49. 您開發了一個能夠向使用者推薦歌曲的 AI，使用者可以選取「很棒」或「很糟」按鈕提供回饋。請問接收使用者回饋意見會有下列哪三項優點？（請選擇 3 個答案）,"A,B,C",multiple,可進行有效 A/B 測試。,了解使用者滿意度。,取得使用者個資。,瞭解最新技術發展。,縮減模型大小。,
50,A-50. 一間雜貨商店在網路上使用 AI 推薦顧客值得購入的產品，㏺個 AI 已經運作了好幾個月。決定是否要繼續使用㏺個 AI 時，商店應考慮下列哪項因素？,D,single,AI 是否使用可解釋演算法。,AI 原始精確度是否超過 85%。,AI 使用的監督式演算法。,AI 的推薦是否使顧客的採購量增加。,,
1001,B-1. 一間公司想使用自動化作業簡化多項工作。下列哪三項工作適合採用 AI 解決方案？（選 3）,"A,C,F",multiple,理解文件內容,以視覺化方式呈現畫面（包含虛擬桌面）,找出可自動化的工作和流程,登入應用程式,複製並貼上資料,從網路上抓取資料
1002,B-2. 下列哪兩項專案會因為使用 AI 建模而受益？（選 2）,"B,C",multiple,判斷促銷郵件後使用者是否瀏覽網站,透過社群留言分析特定主題意見,根據網站行為選取信用卡優惠對象,檢查密碼是否符合要求,將電子報傳送給所有收件人,
1003,B-3. 博物館想用 15 年訪客資料預測特定日期與時間的訪客數。應該採用何種方法？,C,single,使用迴歸模型,使用非監督式學習模型,不需 AI，直接查詢資料即可,使用監督學習模型,,
1004,B-4. 公司想依購物紀錄與客戶特徵將客戶分類。屬於哪種機器學習？,C,single,增強式學習,監督式學習,非監督式學習,元學習,,
1005,B-5. 下列哪個問題可以使用迴歸解決？,B,single,提供使用者依名次排序的推薦清單,根據房屋特色與地點決定售價,偵測產品圖片是否有缺陷,判斷腦部 MRI 是否顯示疾病,,
1006,B-6. 下列哪一項 AI 問題屬於分類問題？,B,single,預測翌日開盤的股票價格,判斷郵件情緒為正面或負面,判斷棋局最佳策略,根據鄰近房價預測售價,,
1007,B-7. AI 根據氣候特徵預測年度河魚數量，應使用哪種模型？,D,single,因為輸出值是一組量化值,因為輸出值是離散標籤,因為輸入值可用特徵向量表示,因為輸出值是量化值,,
1008,B-8. AI 專案團隊為何需要領域專家（非技術背景）？,B,single,整理非結構化資料,將特定領域知識加入演算法,評估整合工具,訓練技術人員,,
1009,B-9. 在哪種情況下應購買現成 AI 解決方案？,B,single,想取得獨特競爭優勢,確認現成方案能有效達成目標,需要專屬設計提高效率,計畫建立世界級技術團隊,,
1010,B-10. 具多用途的 AI 系統為何會有道德疑慮？,B,single,更容易故障,可能被用於未經授權的用途,可能開拓新市場,其他組織想購買,,
1011,B-11. 數間公司共同建立並監視一個特定產業的 AI 安全事件資料庫。哪位專案團隊成員應負責監視事件？,C,single,開發人員,專案經理,風險長,UI 設計師,,
1012,B-12. 銀行實作 AI 判斷哪些客戶能享低利率貸款，需確保透明度。哪項活動至關重要？,C,single,發佈 AI 用途新聞稿,公開所有原始碼,追蹤 AI 使用的所有模型,讓專案經理理解工程師工作,,
1013,B-13. 哪一詞指讓企業、研究機構、政府共享資料以解決公共問題？,C,single,開放式資料,資料交換,資料協作,公共資料,,
1014,B-14. 公司想在社群平台進行情感分析，應如何結構化收集資料？,D,single,將時間軸編目,存取平台實體儲存裝置,手動複製顧客時間軸,使用社群媒體 API,,
1015,B-15. 選擇資料集時哪兩項因素最重要？（選 2）,"A,B",multiple,資料量足夠,缺少或毀損元素,元素檔案格式,發佈來源,是否透過搜尋引擎找到,
1016,B-16. 預測郵件是否垃圾郵件的資料出現問題，該解決什麼？,D,single,資料毀損,極端值,資料缺失,資料不平衡,,
1017,B-17. 用員工績效資料訓練履歷篩選 AI，應注意？,B,single,資料量不足,會延續聘僱偏差,無法擷取特徵,缺失資料影響效能,,
1018,B-18. 將 AI 問題與資料類型配對： 1→B；2→D；3→C；4→A,1->B;2->D;3->C;4->A,matching,,,,,,
1019,B-19. 將文字資料集轉換成模型可讀形式應用技術：,B,single,為每個字詞指派多個數值,為每個唯一字詞指派唯一數值,為字詞指派唯一類別值,為字詞指派多個類別值,,
1020,B-20. 健身房想預測哪些客戶可能退會，應如何挑選特徵？,D,single,多用性別與種族等特徵,隨機選取 10 項,僅選數字特徵,詢問客服意見,,
1021,B-21. 為了提升準確率，在選擇特徵階段應移除哪種特徵？,D,single,未重複的特徵,含多個值的特徵,與目標高度相關的特徵,與目標無關聯的特徵,,
1022,B-22. 預測車價時，哪類特徵需使用 one-hot encoding？,D,single,車門數量,0~100 公里加㏿時間,燃油效率,車輛類型（卡車、轎車、廂型車）,,
1023,B-23. 哪項技術可減少輸入資料集維度？,C,single,低抽樣,一位有效編碼,主成分分析（PCA）,移除缺值特徵,,
1024,B-24. 建置模型時應如何分割資料？,B,single,20%測試、80%訓練，測試資料保持不變,20%測試、80%訓練並重複訓練多次,20%測試、100%訓練,20%測試、100%訓練並重複訓練多次,,
1025,B-25. 貸款決策 AI 若顧客有異議，稽核需何種文件？,B,single,資料元素屬性,資料收集方式、責任鏈、品質評估,資料庫結構描述,資料流程圖,,
1026,B-26. 醫療導引系統需易解釋模型，應選？,B,single,支援向量機,決策樹,神經網路,K-Means 叢集,,
1027,B-27. 哪兩種問題可用決策樹解決？（選 2）,"A,B",multiple,分類,迴歸,叢集,增強式學習,文字產生,
1028,B-28. 哪三種演算法可用於分類問題？（選 3）,"B,C,E",multiple,K-Means,決策樹,邏輯迴歸,線性迴歸,SVM,主成分分析
1029,B-29. 線性迴歸與邏輯迴歸的差異是？,A,single,線性解決迴歸問題，邏輯解決分類問題,線性預測類別，邏輯預測連續變數,線性預測類別值，邏輯預測連續值,線性假設變數關係為線性，邏輯為非線性,,
1030,B-30. 哪個 AI 較佳？為什麼？,D,single,AI2：準確率 80%,AI2：因正確預測兒童最多,AI1：準確率 60%,AI1：因正確預測成人與兒童數值相同,,
1031,B-31. 三個模型使用同一資料集，請配對： 1→C；2→A；3→B,1->C;2->A;3->B,matching,,,,,,
1032,B-32. 想分析金融帳戶存取率與財產關聯，資料集需求？,D,single,精細層級資料,具有細微分層資料,長期資料,使用多變數或多個相似資料集,,
1033,B-33. 模型低度擬合代表？,B,single,方差高，偏差低,方差低，偏差高,擬合無關特徵,測試資料太少,,
1034,B-34. 提升網銀客戶流失率模型效能的方法（選 2）,"A,B",multiple,修改選取的特徵,微調超參數,縮減資料集,使用更快語言,選變化較少特徵,
1035,B-35. 計算影像辨識模型精確率方式？,B,single,正確預測數 ÷ 訓練集數,正確預測數 ÷ 總預測數,正確預測數 ÷ 正向預測數,正確預測數 − 錯誤預測數,,
1036,B-36. 避免決策樹過度擬合的方法？,D,single,移除部分觀測資料,決定葉節點下限,資料集偏態,指定樹深上限,,
1037,B-37. 學校錄取 AI 雖排除收入資料仍偏高收入學生，原因？,B,single,資料集太小,其他特徵與收入相關（如郵遞區號、測驗分數）,程式錯誤,特徵集太小導致過擬合,,
1038,B-38. 模型訓練準確率 99.7%，測試僅 72.45%，代表？,B,single,低度擬合,過度擬合,測試低不構成問題,低偏差,,
1039,B-39. 提供模型透明度的兩種文件（選 2）,"A,B",multiple,超參數設定與特徵解釋,模型版本建立方式,識別 80% 訓練資料集,外部資料篩選標準,偏差解釋與減少方法,
1040,B-40. 向客戶推薦產品的 AI 須先取得核准，誰是關係人？,B,single,開放原始碼工程師,生產環境 ML 團隊,公司 CEO,人力資源專家,,
1041,B-41. 銀行建置 AI 預測客戶關戶機率，訓練前須教育員工內容？,C,single,程式語言,預測演算法與評估指標,可預測的類型與使用的資訊,訓練資料量與調整方式,,
1042,B-42. 萵苣病害偵測 AI 可能的故障情境（選 2）,"A,B",multiple,田裡萵苣與訓練照不同,用於其他蔬菜,有更好的神經網路出現,競爭對手宣稱更好,農夫不信任結果,
1043,B-43. 渦輪機 AI 須於 15 毫秒內預測起火，何種部署方式最靈敏？（選 2）,"A,B",multiple,模型整合至渦輪機軟體，每年升級,在旁邊電腦執行並連線渦輪機,網路預測 Wi-Fi 取得結果,每日網路健康檢查,每日在工廠內健康檢查,
1044,B-44. 網站推薦產品 AI 應納入何考量？,C,single,是否最新演算法,預測成效是否促購,若顧客數增 10 倍，預測㏿度是否足夠,資料是否足夠,,
1045,B-45. 模型重新訓練頻率評估除資料量外還需考慮？,B,single,實作簡易度,生產效能可見度,週期性,成本,,
1046,B-46. 保險公司需確保遵守最佳做法，注意事項（選 2）,"A,B",multiple,是否有法律規範驗證與核准,是否保留完整建置與評估記錄,是否使用最新 AI 技術,是否在雲端建置,是否使用公開資料,
1047,B-47. AI 系統結果突然異常，應先檢查哪些？（選 2）,"A,B",multiple,使用者行為或類型改變,使用者裝置更新,裝置空間不足,硬體故障,感應器髒污,
1048,B-48. 機器視覺系統對深膚色反應差，應採何步驟？（選 2）,"A,B",multiple,立即讓系統離線,加入新分類訓練資料,調降所有膚色效能,改市場至深膚比例低地區,升級演算法版本,
1049,B-49. 網店推薦 AI 效能可透過哪兩種顧客行為評估？（選 2）,"A,B",multiple,顧客是否點擊推薦連結,顧客是否購買推薦產品,部署後是否更多人㐀訪,回報準確率是否提升,是否精準預測喜好,
1050,B-50. 為兩年前的 AI 系統升級，應依何順序完成？ A→B→C→D→E,A->B->C->D->E,ordering,,,,,,
