id,question,answer,type,option_A,option_B,option_C,option_D,option_E,option_F
44,44.您必須將路由器設定為啟用具有私人 IPv4 位址的部用戶,D,single,DHCP,NAT,WAP,VPN,,
45,45.SNMP Ping 公用程式使用 ______通訊協定來測試與遠端主機,C,single,BOOTP,HTTP,ICMP,OSPF,,
46,46.下列哪個項目會使用通道通訊協定來封裝傳輸資料?,D,single,NAT,VLAN,網際網路,VPN,,
47,47.哪種服務會使用 PTRA 記錄?,B,single,NAT,DNS,IPS,IDS,,
48,48.VPN 是什麼?,D,single,您的區域網路(LAN)內的虚擬網路,多個 VLAN 之間的通訊通道,僅供您自己使用的私人網路,透過公用網路的安全私人連線,,
49,"49.當 DHCP 發給戶端位址到期時,該用戶端將會:",A,single,與網路中斷連線,"繼續使用該位址,直到被告知停止",嘗試更新其對該位址的租用,"產生對子網路有效的新位址,並要求 DHCP 伺服器核准",,
50,50.網際網路是根據哪一個網路拓樸所設計?,C,single,環狀,匯流排,網狀,星形,,
51,"51.除了交換功能之外,還有哪個是多層交換器專屬的功能?",C,single,管理用戶端電腦的位址,橋接不實體拓樸之間的流量,提供 No. 3 層路由功能,在各網路通訊協之間轉譯,,
52,52.交換器只會將單點傳播框架傳送至一個目的地連接埠,A,single,正確,不正確,,,,
53,"53.如果交換器不知道框架的傳送目標,會導致它發框架至各接",A,single,正確,不正確,,,,
54,54.交換器只會將廣播框架傳送至上行接埠,B,single,正確,不正確,,,,
55,"55.在無線路由器上,SSID 是____________",B,single,預設系統管理員帳戶,廣播識别碼,廣域網路(WAN)加密通訊協定,預設通訊協定,,
56,56.您正在嘗試存取網際網路上的音樂分享服此服務位於 IP 位,A,single,路由器,交換器,防火牆,,,
56,56.(接續上題)。追蹤路由,A,single,已順利完成,未順利完成,已完成但狀態不明,,,
57,"57.非連線式的訊息架構通訊協定,提供盡力而為的服務-",B,single,TCP,UDP,ARP,,,
58,"58.連線導向的通訊協定,提供保證的服務",A,single,TCP,UDP,ARP,,,
59,59.將 MAC 位址解析為 P 位址,C,single,TCP,UDP,ARP,,,
60,60.IoT 裝置有 IP 位址,A,single,正確,錯誤,,,,
61,61.IoT 裝需要與人互動才能與網路通訊,B,single,正確,錯誤,,,,
62,"62.可利用應用程式開啟的智慧型恆溫器和燈泡,是屬於 IoT 範",A,single,正確,錯誤,,,,
63,63.IPv4 多點傳送位址的範圍是從______________,D,single,127.0.0.0 到 127.255.255.255,172.16.0.0 到 172.31.255.255,192.168.0.0192.168.255.255,224.0.0.0 到 239.255.255.255,,
64,64.網路位址: 127.0.0.0-127.255.255.255 是,A,single,迴路位址,多點傳送位址,私人網路位址,公用網路位址,,
65,65.網路位址: 192.168.0.0-192.168.255.255 是,C,single,迴路位址,多點傳送位址,私人網路位址,公用網路位址,,
66,66.網路位址: 224.0.0.0-239.255.255.255 是,B,single,迴路位址,多點傳送位址,私人網路位址,公用網路位址,,
67,67.每個 IPv4 位址包含 ___________,A,single,網路識别碼和主機識别碼,DNS 記錄和預設路由,分成八位元資料組的 64 位元二進位數字,MAC 位址和資料連結層位址,,
68,68.哪個是類別 A IP 位址:,D,single,133.234.23.2,224.100.20.3,201.111.22.3,64.123.12.1,,
69,69.哪個是類別 B IP 位址:,A,single,133.234.23.3,224.100.20.4,201.111.22.4,64.123.12.2,,
70,70.哪個是類別 C IP 位址:,C,single,133.234.23.4,224.100.20.5,201.111.22.5,64.123.12.3,,
71,71.哪個是類別 D IP 位址:,B,single,133.234.23.5,224.100.20.6,201.111.22.6,64.123.12.4,,
72,72.將全世界許多小型電腦網路連結起來的龐大電腦網路是-,A,single,網際網路,內部網路,外部網路,,,
73,73.讓公司與供應商或合作夥伴之間能夠安全共同作業的網路-,C,single,網際網路,內部網路,外部網路,,,
74,74.只有公司員工能夠存取的私人網路是-,B,single,網際網路,內部網路,外部網路,,,
75,75.主從網路有集中化管理,A,single,正確,錯誤,,,,
76,76.主從網路要求每部電腦必須共用其資源,A,single,正確,錯誤,,,,
77,77.主從網路要求使用者在他們必須使用的每部電腦上都必須,B,single,正確,錯誤,,,,
78,78.網際網路是廣域網路(WAN),A,single,正確,錯誤,,,,
79,79.內部網路是廣域網路(WAN),A,single,正確,錯誤,,,,
80,80.在多個城市都設有辦公室的公司利用廣域網路(WAN)共用,B,single,正確,錯誤,,,,
81,81.您正在協助朋友設定家庭辦公室的公眾對應網頁伺服器。,C,single,將網頁伺服器的 IP 位址設定為區域網路的内部位址。,將防火牆設定為封鎖連接埠 80 和 443 的存取。,將網頁伺服器部署在 DMZ 中,將網頁伺服設定為封鎖連接埠 80 和 443 的存取,,
82,82.Type 1 Hypervisor 會直接在系統硬體上執行,A,single,正確,錯誤,,,,
83,83.Type 2 Hypervisor 會直接在系統硬體上執行,B,single,正確,錯誤,,,,
84,84.Type 1 Hypervisor 也被稱為裸機 Hypervisor,A,single,正確,錯誤,,,,
85,85.可讓遠端使用者從網際網路上的任何位置連線到私人網路-,A,single,SSL VPN,第 2 層通道通訊協定,站台對站台 VPN,,,
86,86.安全地連接私人網路的兩個部分或兩個私人網路-,C,single,SSL VPN,第 2 層通道通訊協定,站台對站台 VPN,,,
87,87.在兩部網路裝置之間建立未加密的連線-,B,single,SSL VPN,第 2 層通道通訊協定,站台對站台 VPN,,,
88,88.有關使用 Type 2 Hypervisor 虛擬機的敘述:如果重新啟動,B,single,正確,錯誤,,,,
89,89.有關使用 Type 2 Hypervisor 虛擬機的敘述:您可以重新啟,B,single,正確,錯誤,,,,
90,90.有關使用 Type 2 Hypervisor 虛擬機的敘述:如果必須重新,B,single,正確,錯誤,,,,
91,91.SMTP 的 TCP 連接埠號碼,B,single,21,25,53,80,443,
92,92.FTP 的 TCP 連接埠號碼,A,single,21,25,53,80,443,
93,93.HTTPS 的 TCP 連接埠號碼,E,single,21,25,53,80,443,
94,"94.某組織必須將其基礎結構完全移到外部署, 他們應該將資料",B,single,私人雲端,公用雲端,混合雲端,虛擬機器,,
